_id,createdAt,name,pollingStation,updatedAt
6028ae76be48b504bc4f6144,2021-02-14T05:00:38.742Z,E-FO,6028a8e5be48b504bc4f6115,2021-02-14T05:00:38.742Z
6028ae7dbe48b504bc4f6145,2021-02-14T05:00:45.848Z,FR-HE,6028a8e5be48b504bc4f6115,2021-02-14T05:00:45.848Z
6028ae8dbe48b504bc4f6146,2021-02-14T05:01:01.310Z,HI-JOR,6028a8e5be48b504bc4f6115,2021-02-14T05:01:01.310Z
6028ae95be48b504bc4f6147,2021-02-14T05:01:09.041Z,JOS-L,6028a8e5be48b504bc4f6115,2021-02-14T05:01:09.041Z
6028ae99be48b504bc4f6148,2021-02-14T05:01:13.746Z,M,6028a8e5be48b504bc4f6115,2021-02-14T05:01:13.746Z
6028aea6be48b504bc4f6149,2021-02-14T05:01:26.365Z,N-Q,6028a8e5be48b504bc4f6115,2021-02-14T05:01:26.365Z
6028aeb0be48b504bc4f614a,2021-02-14T05:01:36.716Z,R-ST.J,6028a8e5be48b504bc4f6115,2021-02-14T05:01:36.716Z
6028aebbbe48b504bc4f614b,2021-02-14T05:01:47.901Z,ST.L-Z,6028a8e5be48b504bc4f6115,2021-02-14T05:01:47.901Z
6028b039be48b504bc4f614c,2021-02-14T05:08:09.947Z,A-D,6028a60cbe48b504bc4f6104,2021-02-14T05:08:09.947Z
6028b03fbe48b504bc4f614d,2021-02-14T05:08:15.591Z,E-I,6028a60cbe48b504bc4f6104,2021-02-14T05:08:15.591Z
6028b045be48b504bc4f614e,2021-02-14T05:08:21.940Z,J-L,6028a60cbe48b504bc4f6104,2021-02-14T05:08:21.940Z
6028b04bbe48b504bc4f614f,2021-02-14T05:08:27.220Z,M-Z,6028a60cbe48b504bc4f6104,2021-02-14T05:08:27.220Z
6028b05abe48b504bc4f6150,2021-02-14T05:08:42.979Z,A-I,6028a622be48b504bc4f6105,2021-02-14T05:08:42.979Z
6028b061be48b504bc4f6151,2021-02-14T05:08:49.119Z,J-Z,6028a622be48b504bc4f6105,2021-02-14T05:08:49.119Z
6028b071be48b504bc4f6152,2021-02-14T05:09:05.395Z,A-B,6028a665be48b504bc4f6106,2021-02-14T05:09:05.395Z
6028b076be48b504bc4f6153,2021-02-14T05:09:10.541Z,C-E,6028a665be48b504bc4f6106,2021-02-14T05:09:10.541Z
6028b07ebe48b504bc4f6154,2021-02-14T05:09:18.534Z,F-I,6028a665be48b504bc4f6106,2021-02-14T05:09:18.534Z
6028b084be48b504bc4f6155,2021-02-14T05:09:24.323Z,J-K,6028a665be48b504bc4f6106,2021-02-14T05:09:24.323Z
6028b0a4be48b504bc4f6156,2021-02-14T05:09:56.353Z,L-O,6028a678be48b504bc4f6107,2021-02-14T05:09:56.353Z
6028b0aabe48b504bc4f6157,2021-02-14T05:10:02.609Z,P-R,6028a678be48b504bc4f6107,2021-02-14T05:10:02.609Z
6028b0b3be48b504bc4f6158,2021-02-14T05:10:11.123Z,S-Z,6028a678be48b504bc4f6107,2021-02-14T05:10:11.123Z
6028b0c3be48b504bc4f6159,2021-02-14T05:10:27.632Z,A-J,6028a699be48b504bc4f6108,2021-02-14T05:10:27.632Z
6028b0c9be48b504bc4f615a,2021-02-14T05:10:33.770Z,K-Z,6028a699be48b504bc4f6108,2021-02-14T05:10:33.770Z
6028b0e1be48b504bc4f615b,2021-02-14T05:10:57.058Z,A-Z,6028a6aabe48b504bc4f6109,2021-02-14T05:10:57.058Z
6028b0f3be48b504bc4f615c,2021-02-14T05:11:15.394Z,A-C,6028a6c3be48b504bc4f610a,2021-02-14T05:11:15.394Z
6028b0fcbe48b504bc4f615d,2021-02-14T05:11:24.074Z,D-F,6028a6c3be48b504bc4f610a,2021-02-14T05:11:24.074Z
6028b101be48b504bc4f615e,2021-02-14T05:11:29.497Z,G-K,6028a6c3be48b504bc4f610a,2021-02-14T05:11:29.497Z
6028b107be48b504bc4f615f,2021-02-14T05:11:35.228Z,L-O,6028a6c3be48b504bc4f610a,2021-02-14T05:11:35.228Z
