_id,name,district,createdAt,updatedAt,code
6028a0f1be48b504bc4f60e6,Laborie Girls Primary School,60171a8cd7a5c51dc8e3ef05,2021-02-14T04:02:57.760Z,2021-02-14T04:02:57.760Z,J3
6028a10abe48b504bc4f60e7,La Grace Combined School,60171a8cd7a5c51dc8e3ef05,2021-02-14T04:03:22.265Z,2021-02-14T04:03:22.265Z,J4
6028a123be48b504bc4f60e8,"Teaser's Dance Hall (Banse)",60171a8cd7a5c51dc8e3ef05,2021-02-14T04:03:47.849Z,2021-02-14T04:03:47.849Z,J4
6028a15ebe48b504bc4f60e9,Roseau Combined School,60171a47d7a5c51dc8e3ef04,2021-02-14T04:04:46.080Z,2021-02-14T04:04:46.080Z,G1
6028a173be48b504bc4f60ea,Millet Primary School,60171a47d7a5c51dc8e3ef04,2021-02-14T04:05:07.546Z,2021-02-14T04:05:07.546Z,G2 (a)
6028a1a0be48b504bc4f60eb,"Christian Faith Assembly, Vanard",60171a47d7a5c51dc8e3ef04,2021-02-14T04:05:52.773Z,2021-02-14T04:05:52.773Z,G2 (b)
6028a1c9be48b504bc4f60ec,Canaries Primary School,60171a47d7a5c51dc8e3ef04,2021-02-14T04:06:33.575Z,2021-02-14T04:06:33.575Z,G4
6028a1e8be48b504bc4f60ed,Anse La Raye Primary School,60171a47d7a5c51dc8e3ef04,2021-02-14T04:07:04.426Z,2021-02-14T04:07:04.426Z,G3
6028a21dbe48b504bc4f60ee,SLASPA Ferry Terminal,60171a2dd7a5c51dc8e3ef03,2021-02-14T04:07:57.615Z,2021-02-14T04:07:57.615Z,F1
6028a22bbe48b504bc4f60ef,Ciceron Combined School,60171a2dd7a5c51dc8e3ef03,2021-02-14T04:08:11.728Z,2021-02-14T04:08:11.728Z,F2
6028a259be48b504bc4f60f0,La Croix Maingot (Hess School),60171a2dd7a5c51dc8e3ef03,2021-02-14T04:08:57.741Z,2021-02-14T04:08:57.741Z,F3
6028a2c0be48b504bc4f60f1,Carmen Rene Memorial School,601717cfd7a5c51dc8e3ef01,2021-02-14T04:10:40.577Z,2021-02-14T04:10:40.577Z,E1
6028a2d0be48b504bc4f60f2,Anglican Infant School,601717cfd7a5c51dc8e3ef01,2021-02-14T04:10:56.002Z,2021-02-14T04:10:56.002Z,E2
6028a2e1be48b504bc4f60f3,R.C. Boys Primary Shool,601717cfd7a5c51dc8e3ef01,2021-02-14T04:11:13.157Z,2021-02-14T04:11:13.157Z,E3
6028a2f7be48b504bc4f60f4,R.C. Boys Infant Shool,601717cfd7a5c51dc8e3ef01,2021-02-14T04:11:35.034Z,2021-02-14T04:11:35.034Z,E4
6028a327be48b504bc4f60f5,Ave Maria Primary Shool,601717cfd7a5c51dc8e3ef01,2021-02-14T04:12:23.487Z,2021-02-14T04:12:23.487Z,E5 (a)
6028a33dbe48b504bc4f60f6,Ave Maria Infant Shool,601717cfd7a5c51dc8e3ef01,2021-02-14T04:12:45.808Z,2021-02-14T04:12:45.808Z,E5 (b)
6028a352be48b504bc4f60f7,Methodist Parish Hall,601717cfd7a5c51dc8e3ef01,2021-02-14T04:13:06.194Z,2021-02-14T04:13:06.194Z,E6
6028a381be48b504bc4f60f8,Bocage Government School,60172324d7a5c51dc8e3ef19,2021-02-14T04:13:53.594Z,2021-02-14T04:13:53.594Z,D1
6028a398be48b504bc4f60f9,Entrepot Secondary School,60172324d7a5c51dc8e3ef19,2021-02-14T04:14:16.710Z,2021-02-14T04:14:16.710Z,D2
6028a3acbe48b504bc4f60fa,Marchand Parish Centre,60172324d7a5c51dc8e3ef19,2021-02-14T04:14:36.986Z,2021-02-14T04:14:36.986Z,D3
6028a3c1be48b504bc4f60fb,Marchand Combined School,60172324d7a5c51dc8e3ef19,2021-02-14T04:14:57.471Z,2021-02-14T04:14:57.471Z,D4
6028a3e1be48b504bc4f60fc,Mindoo Phillip Park,60172324d7a5c51dc8e3ef19,2021-02-14T04:15:29.335Z,2021-02-14T04:15:29.335Z,D5 (a)
6028a3f5be48b504bc4f60fd,Cadet Pavillion,60172324d7a5c51dc8e3ef19,2021-02-14T04:15:49.200Z,2021-02-14T04:15:49.200Z,D5 (b)
6028a406be48b504bc4f60fe,Police Auditorium,60172324d7a5c51dc8e3ef19,2021-02-14T04:16:06.039Z,2021-02-14T04:16:06.039Z,D6
6028a52bbe48b504bc4f60ff,Castries Comprehensive School,601717b3d7a5c51dc8e3ef00,2021-02-14T04:20:59.690Z,2021-02-14T04:20:59.690Z,C1
6028a54bbe48b504bc4f6100,Vide Bouteille Secondary School,601717b3d7a5c51dc8e3ef00,2021-02-14T04:21:31.544Z,2021-02-14T04:21:31.544Z,C2
6028a565be48b504bc4f6101,Anglican Primary School,601717b3d7a5c51dc8e3ef00,2021-02-14T04:21:57.204Z,2021-02-14T04:21:57.204Z,C3
6028a57ebe48b504bc4f6102,Morne Du Don Combined School,601717b3d7a5c51dc8e3ef00,2021-02-14T04:22:22.296Z,2021-02-14T04:22:22.296Z,C4
6028a5a2be48b504bc4f6103,"St. Joseph's Convent Pre-School",601717b3d7a5c51dc8e3ef00,2021-02-14T04:22:58.312Z,2021-02-14T04:22:58.312Z,C5
6028a60cbe48b504bc4f6104,Balata Combined School,601717a2d7a5c51dc8e3eeff,2021-02-14T04:24:44.226Z,2021-02-14T04:24:44.226Z,B1 (a)
6028a622be48b504bc4f6105,Babonneau Primary School,601717a2d7a5c51dc8e3eeff,2021-02-14T04:25:06.946Z,2021-02-14T04:25:06.946Z,B1 (b)
6028a665be48b504bc4f6106,La Guerre Combined School,601717a2d7a5c51dc8e3eeff,2021-02-14T04:26:13.385Z,2021-02-14T04:26:13.385Z,B2 (a)
6028a678be48b504bc4f6107,La Guerre Community Centre,601717a2d7a5c51dc8e3eeff,2021-02-14T04:26:32.242Z,2021-02-14T04:26:32.242Z,B2 (b)
6028a699be48b504bc4f6108,Boguis Combined School,601717a2d7a5c51dc8e3eeff,2021-02-14T04:27:05.179Z,2021-02-14T04:27:05.179Z,B3
6028a6aabe48b504bc4f6109,Des Barra Combined School,601717a2d7a5c51dc8e3eeff,2021-02-14T04:27:22.805Z,2021-02-14T04:27:22.805Z,B4
6028a6c3be48b504bc4f610a,Fond Assau Combined School,601717a2d7a5c51dc8e3eeff,2021-02-14T04:27:47.262Z,2021-02-14T04:27:47.262Z,B5 (a)
6028a6f9be48b504bc4f610b,Garrand Mothers & Fathers Hall,601717a2d7a5c51dc8e3eeff,2021-02-14T04:28:41.529Z,2021-02-14T04:28:41.529Z,B5 (b)
6028a71abe48b504bc4f610c,Babonneau Secondary School,601717a2d7a5c51dc8e3eeff,2021-02-14T04:29:14.787Z,2021-02-14T04:29:14.787Z,B6 (a)
6028a731be48b504bc4f610d,Babonneau Multi-Purpose Centre,601717a2d7a5c51dc8e3eeff,2021-02-14T04:29:37.536Z,2021-02-14T04:29:37.536Z,B6 (b)
6028a808be48b504bc4f610e,Gros-Islet Primary School,60171762d7a5c51dc8e3eefe,2021-02-14T04:33:12.507Z,2021-02-14T04:33:12.507Z,A1 (a)
6028a818be48b504bc4f610f,Gros-Islet Secondary School,60171762d7a5c51dc8e3eefe,2021-02-14T04:33:28.826Z,2021-02-14T04:33:28.826Z,A1 (b)
6028a83cbe48b504bc4f6110,"Johnsons' Centre Rodney Bay",60171762d7a5c51dc8e3eefe,2021-02-14T04:34:04.309Z,2021-02-14T04:34:04.309Z,A1 (c)
6028a860be48b504bc4f6111,"Johnsons' Centre Rodney Bay",60171762d7a5c51dc8e3eefe,2021-02-14T04:34:40.824Z,2021-02-14T04:34:40.824Z,A1 (d)
6028a877be48b504bc4f6112,Monchy Combined School,60171762d7a5c51dc8e3eefe,2021-02-14T04:35:03.736Z,2021-02-14T04:35:03.736Z,A2 (a)
6028a899be48b504bc4f6113,Darren Sammy Stadium (Beausejour),60171762d7a5c51dc8e3eefe,2021-02-14T04:35:37.100Z,2021-02-14T04:35:37.100Z,A2 (b)
6028a8b0be48b504bc4f6114,Grande Riviere Primary School,60171762d7a5c51dc8e3eefe,2021-02-14T04:36:00.334Z,2021-02-14T04:36:00.334Z,A3
6028a8e5be48b504bc4f6115,Corinth Secondary School,60171762d7a5c51dc8e3eefe,2021-02-14T04:36:53.784Z,2021-02-14T04:36:53.784Z,A4
