_id,candidate1,candidate1Party,candidate1Votes,candidate2,candidate2Party,candidate2Votes,candidate3,candidate3Party,candidate3Votes,comments,createdAt,district,pollingStation,registeredVoters,rejectedVotes,section,updatedAt,votesCast,year
60331bc80e7c9e39bc0aabbc,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,133,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,141,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T02:49:44.319Z,60171762d7a5c51dc8e3eefe,6028a8b0be48b504bc4f6114,460,19,6028ae0bbe48b504bc4f6136,2021-02-22T02:49:44.319Z,294,2016
60331bef0e7c9e39bc0aabbd,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,140,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,115,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T02:50:23.143Z,60171762d7a5c51dc8e3eefe,6028a8b0be48b504bc4f6114,511,6,6028ae13be48b504bc4f6137,2021-02-22T02:50:23.143Z,262,2016
60331c0d0e7c9e39bc0aabbe,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,140,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,178,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,3,"",2021-02-22T02:50:53.164Z,60171762d7a5c51dc8e3eefe,6028a8b0be48b504bc4f6114,514,3,6028ae18be48b504bc4f6138,2021-02-22T02:50:53.164Z,324,2016
60331c570e7c9e39bc0aabbf,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,126,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,138,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T02:52:07.964Z,60171762d7a5c51dc8e3eefe,6028a8b0be48b504bc4f6114,456,3,6028ae1dbe48b504bc4f6139,2021-02-22T02:52:07.964Z,268,2016
60331c820e7c9e39bc0aabc0,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,92,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,86,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T02:52:50.065Z,60171762d7a5c51dc8e3eefe,6028a8b0be48b504bc4f6114,326,1,6028ae28be48b504bc4f613a,2021-02-22T02:52:50.065Z,180,2016
60331cc10e7c9e39bc0aabc1,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,42,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,75,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T02:53:53.420Z,60171762d7a5c51dc8e3eefe,6028a8b0be48b504bc4f6114,239,4,6028ae33be48b504bc4f613b,2021-02-22T02:53:53.420Z,122,2016
60331cfa0e7c9e39bc0aabc2,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,62,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,96,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,0,"",2021-02-22T02:54:50.424Z,60171762d7a5c51dc8e3eefe,6028a8b0be48b504bc4f6114,276,0,6028ae3abe48b504bc4f613c,2021-02-22T02:54:50.424Z,158,2016
60331d3c0e7c9e39bc0aabc3,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,98,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,122,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,2,"",2021-02-22T02:55:56.360Z,60171762d7a5c51dc8e3eefe,6028a8b0be48b504bc4f6114,391,2,6028ae3fbe48b504bc4f613d,2021-02-22T02:55:56.360Z,224,2016
60331d730e7c9e39bc0aabc4,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,86,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,118,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T02:56:51.818Z,60171762d7a5c51dc8e3eefe,6028a8b0be48b504bc4f6114,338,2,6028ae46be48b504bc4f613e,2021-02-22T02:56:51.818Z,207,2016
60331da30e7c9e39bc0aabc5,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,115,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,169,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T02:57:39.097Z,60171762d7a5c51dc8e3eefe,6028a8b0be48b504bc4f6114,485,0,6028ae4cbe48b504bc4f613f,2021-02-22T02:57:39.097Z,285,2016
